timestamp,active_power_kw,ac_active_output_power_kw_lcr1:inv1,dc_power_kw_lcr1:inv1,ac_active_output_power_kw_lcr1:inv2,dc_power_kw_lcr1:inv2,ac_active_output_power_kw_mcr:inv5,dc_power_kw_mcr:inv5,ac_active_output_power_kw_lcr2:inv3,dc_power_kw_lcr2:inv3,ac_active_output_power_kw_lcr2:inv4,dc_power_kw_lcr2:inv4,mod_temp,amb_temp,poa_w_m2,ghi_w_m2,plant_cuf,temp_co_pr,is_real_measurement,hour,minute,day,month,weekday,power_lag_1,power_lag_2,rolling_mean_3,rolling_std_3,is_daylight,is_morning,is_afternoon
2026-07-15 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.11,32.84,0.08,0.08,21.5,0.0,True,19,30,15,7,2,0.0,9.0,3.0,5.196152433129703,0,0,1
2026-07-15 19:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.04,32.65,0.1,0.09,21.5,0.0,True,19,45,15,7,2,0.0,0.0,0.0,0.0003291771508977479,0,0,1
2026-07-15 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.72,32.2,0.11,0.09,21.5,0.0,True,20,0,15,7,2,0.0,0.0,0.0,0.0003291771508977479,0,0,1
2026-07-15 20:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.44,31.68,0.11,0.09,21.5,0.0,True,20,15,15,7,2,0.0,0.0,0.0,0.0003291771508977479,0,0,1
2026-07-15 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.16,31.25,0.13,0.09,21.5,0.0,True,20,30,15,7,2,0.0,0.0,0.0,0.0003291771508977479,0,0,1
2026-07-15 20:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.71,30.86,0.13,0.09,21.5,0.0,True,20,45,15,7,2,0.0,0.0,0.0,0.0003291771508977479,0,0,1
2026-07-15 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.54,0.14,0.09,21.5,0.0,True,21,0,15,7,2,0.0,0.0,0.0,0.0003291771508977479,0,0,1
2026-07-15 21:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.87,30.25,0.14,0.09,21.5,0.0,True,21,15,15,7,2,0.0,0.0,0.0,0.0003291771508977479,0,0,1
2026-07-15 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.18,30.28,0.16,0.09,21.5,0.0,True,21,30,15,7,2,0.0,0.0,0.0,0.0003291771508977479,0,0,1
2026-07-15 21:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,30.28,0.26,0.09,21.5,0.0,True,21,45,15,7,2,0.0,0.0,0.0,0.0003291771508977479,0,0,1
